Norsk,Engelsk
drikke,drink
eget,own
lese,read
sist,last
behøver,needs
general,general
tidligere,earlier
intet,nothing
krig,war
fall,fall
stikke,sting
måten,the way
hen,there
føles,feels
pris,price
hjertet,the heart
blive,stay
følger,following
reddet,saved
klokka,the clock
døra,the door
jenter,girls
leter,looking
bo,stay
større,bigger
forklare,explain
avtale,deal
sint,angry
likevel,Nevertheless
svarte,answered
onkel,uncle
fare,danger
søster,sister
krigen,the war
sak,case
david,David
baby,baby
forbi,past
slipper,lets go
bekymret,worried
gratulerer,congratulations
rette,correct
dame,lady
nogle,some
drittsekk,shit
følg,follow
fengsel,jail
skade,Damage
klokken,the clock
lege,doctor
kl,at
enkelt,single
slippe,let go
åtte,eight
egne,own
skipet,the ship
hjerte,heart
særlig,especially
drink,drink
menneske,human
endelig,finally
skjøt,shot
slåss,fight
spurte,asked
største,biggest
tog,train
stole,trust
ofte,often
døden,death
glemte,Forgot
sendt,sent
sover,sleeping
natten,the night
skylder,owes
james,James
beskytte,protect
umulig,impossible
ærlig,honest
send,send
end,end
hvilket,which
slutte,quit
fik,got
leder,manager
ordre,order
passe,fit
ansiktet,the face
sto,stood
vare,commodity
steder,places
født,born
flink,good
falt,fell
traff,hit
tag,roof
vant,won
flyet,the plane
skrev,wrote
kamp,match
dyr,animal
hvite,white
råd,advice
historien,the story
sjekk,check
legger,lays
lide,suffer
beskjed,message
prate,talk
fanden,the hell
plan,plan
svart,black
stolt,proud
ni,nine
lys,light
stikk,stick
kastet,threw
vinner,winner
lot,lot
guds,God's
meter,meters
føle,feel
skriver,write
sjef,boss
brukte,used
verdens,of the world
fortsette,continue
mister,losing
ordne,fix
person,person
skatt,tax
høyt,loud
spill,game
pistolen,the gun
nydelig,gorgeous
kutt,cut
øl,beer
mike,Mike
paris,Paris
sjefen,the boss
vannet,the water
kompis,Buddy
tingene,the things
pent,pretty
skaffe,provide
forhold,relationship
glemt,forgotten
midt,middle
paul,Paul
ære,honor
verdt,worth
lurer,wondering
kontakt,contact
kvelden,the evening
drøm,dream
flytte,move
overalt,everywhere
ræva,ass
hånden,the hand
kontoret,the office
elske,love
lå,lay
glemme,forget
trengte,needed
fa,few
dumme,stupid
brug,use
løs,loose
fest,feast
alvorlig,serious
aften,evening
vinne,win
miste,loose
barnet,the child
hr,Mr
bob,bob
smart,smart
drep,kill
lærer,teacher
lukk,close
skadet,hurt
lyver,lying
antar,guess
rolle,role
stoler,chairs
stans,stop
opptatt,busy
ønsket,wished
film,film
johnny,johnny
lykkelig,happy
sulten,hungry
ryggen,the back
agent,agent
vanlig,usual
altid,always
forstått,understood
ødelagt,broken
tony,Tony
annerledes,different
noensinne,ever
snu,turn around
joe,joe
absolutt,absolutely
sov,slept
satte,put
bill,bill
ødelegge,destroy
halv,half
øye,eye
spesielt,special
mennene,The men
sju,seven
hender,hands
forelsket,in love
lurte,wondered
interessant,interesting
foreldrene,parents
gave,gift
søt,sweet
vennene,the friends
levende,alive
lyset,the light
planen,the plan
hund,dog
anden,duck
finde,find
jaså,yes
dumt,stupid
reiser,travels
ligge,lie
savner,miss
sykehuset,the hospital
ringen,the ring
raskt,quickly
sjekke,check
ene,one
sterk,strong
filmen,the movie
kender,kender
mening,opinion
dessverre,unfortunately
slikt,such
professor,professor
nar,when
kaste,throw
jimmy,jimmy
lag,layer
gøy,fun
fanget,caught
pen,pretty
løytnant,lieutenant
merkelig,strange
amerika,America
kroppen,the body
bilde,picture
sprø,crazy
kalle,call
kampen,the match
max,max
drikker,drinks
jorden,the earth
sjansen,the chance
plutselig,sudden
kjørte,ran
øyne,eyes
ret,right
fru,Mrs
brukt,used
skål,toast
syntes,seemed
telefon,telephone
enig,agreed
lærte,learned
jake,jacket
heldig,lucky
deler,parts
hjælpe,help
kaster,throws
greier,things
folkens,guys
jesus,jesus
prøvd,tried
skip,ship
håret,the hair
kast,throw
lagt,laid
himmelen,the sky
kyss,kiss
arbeid,work
skrevet,written
ligner,looks like
advokat,lawyer
jul,Christmas
respekt,respect
talt,spoken
hopp,jump
maten,the food
interessert,interested
spor,traces
trekk,traits
gar,gar
fleste,most
tredje,third
innen,within
pistol,pistol
stakkars,poor
lært,learned
datteren,the daughter
fortsetter,continues
kvinnen,the woman
eier,owner
kjæresten,the girlfriend
jævel,damn
tuller,jokes
fortjener,deserves
stjal,stole
giv,give
gerne,willingly
minste,smallest
konge,king
savnet,missing
nærmere,closer
hey,hey
vide,knew
oberst,colonel
personlig,personal
møtt,met
båten,the boat
selge,sell
blå,blue
kontroll,control
frue,Madam
set,seen
tilgi,forgive
ven,friend
skat,honey
billy,billy
het,hot
danse,dance
både,both
måned,month
stol,chair
flytt,move
troede,believed
nyheter,news
verste,worst
bekymre,worry
ray,ray
betalt,paid
kult,cool
bevis,proof
hår,hair
sker,happens
vej,road
fine,fine
munnen,the mouth
taler,speaker
frøken,miss
blant,among
saker,matters
fører,leading
vaere,be
slått,beaten
starter,starts
tegn,signs
hjernen,the brain
omkring,about
bok,book
viste,knew
området,the area
fars,father's
lukter,smells
svin,swine
gav,gave
flyttet,moved
kjøpte,bought
følte,felt
etterpå,afterwards
vakkert,beautiful
hunden,the dog
forlate,leave
forandret,changed
hjalp,helped
morges,in the morning
legen,the doctor
lik,equal
president,president
vist,shown
fange,prisoner
frisk,fresh
engelsk,English
bestemt,specific
mary,mary
selger,seller
toget,the train
hvilke,which ones
forrige,previous
stemme,voice
ekstra,extra
vinduet,the window
slike,such
mangler,missing
slutter,ends
bad,bath
ordentlig,proper
bordet,the table
ungene,the kids
glede,happiness
usa,usa
tjener,servant
fungerer,works
karer,guys
velge,select
lyder,sounds
leke,play
takke,thank
møtes,meet
ordner,arranges
moro,fun
kvitt,Quit
truffet,hit
sarah,Sarah
sluttet,ended
bedt,asked
pleide,used to
merke,brand
taket,the ceiling
iblant,occasionally
hel,whole
ferdige,finished
bobby,bobby
hendes,hers
greia,the thing
vidste,knew
dean,dean
øya,the island
bortsett,except
spist,eaten
drømmer,dreams
kongen,the king
retten,the court
vennligst,please
makt,power
brev,letter
uden,without
hjælp,help
seng,bed
politi,police
glemmer,forgets
london,london
gjor,do
enten,either
km,km
stopper,stops
stykker,pieces
arbeidet,the work
danny,danny
stakk,stuck
starte,start
såret,the wound
tjene,serve
herren,the gentleman
sang,song
dele,share
ren,pure
jentene,the girls
gik,went
angrep,attack
festen,the party
bilder,pictures
ringt,called
slutten,the end
lest,read
kalte,called
klær,clothes
bildet,the picture
onde,evil
enhver,anyone
elskling,Darling
kate,Kate
faller,falls
dypt,deep
musikk,music
fbi,fbi
bry,bother
frokost,breakfast
leser,reader
årene,the years
synge,sing
spilte,played
besøk,visit
møter,meetings
slag,punch
te,tea
nervøs,jumpy
varmt,hot
unger,children
dritten,the shit
nummeret,the number
forresten,by the way
bar,bar
ordet,the word
kapteinen,the captain
sidste,last
naturligvis,naturally
tilhører,belongs to
kjøper,buyer
penge,money
dårlige,bad
kjempe,giant
liksom,like
gravid,pregnant
virket,worked
stop,stop
type,type
omtrent,approximately
trygg,safe
give,give
lurt,wise
styrke,strength
alex,alex
høy,high
adjø,goodbye
menneskene,the humans
gutta,the boys
mål,goal
kamerat,comrade
typen,the type
valgte,chose
varm,warm
mord,murder
ende,end
sverger,swear
amerikanske,American
eddie,eddie
forferdelig,terrible
san,San
gata,street
armen,the arm
hundre,hundred
al,eel
lunsj,lunch
st,St
jim,Jim
unnskyldning,apology
taper,loser
låne,borrow
vakre,beautiful
jeres,yours
fullt,full
robert,robert
nærheten,close by
beina,the legs
klærne,the clothes
høyere,higher
gratis,free
trist,sad
andet,other
mod,mod
mester,champion
svare,respond
kjæreste,girlfriend
bank,bank
håp,hope
inntil,up to
selskap,company
nøyaktig,exact
sikre,ensure
derfra,from there
trøbbel,trouble
stand,condition
røde,Red
rent,clean
martin,martin
andy,andy
poenget,the point
bestemmer,decides
prater,talking
is,ice
sjekket,checked
tommy,Tommy
spis,eat
krever,requires
dave,deaf
inni,inside
bruge,use
thomas,Thomas
sann,like that
fortælle,tell
richard,Richard
blevet,became
begynt,begun
minst,smallest
tull,nonsense
henry,Henry
spillet,the game
nøkkelen,the key
hvit,white
arbejde,work
overraskelse,surprise
startet,started
koster,costs
fryktelig,terribly
kontor,office
nødvendig,necessary
betjent,valet
kaldt,cold
forsvant,disappeared
rød,Red
trenge,need
elskede,beloved
hotellet,the hotel
jerry,Jerry
hest,horse
maria,Maria
bakken,the ground
fart,speed
altfor,too much
chuck,chuck
innom,stop by
boken,the book
stjålet,stolen
føre,lead
flaks,luck
reis,trip
blåser,blows
direkte,direct
anna,another
minner,memories
våkne,wake
kall,call
deilig,delicious
følelser,feelings
ansvar,responsibility
presidenten,the president
street,street
møtte,met
giver,gives
chris,chris
ungen,the kid
dekk,deck
forsvinn,disappear
skete,happened
beholde,keep
overleve,survive
håpet,the hope
rører,stirring
åpner,opens
mora,mother
vilje,will
bedste,the best
le,laugh
søsteren,the sister
start,start
spiste,ate
støtte,support
rene,clean
trygt,safe
minutt,minute
ender,ducks
nærmer,approaching
bevise,prove
pleier,carer
flyr,flies
forandre,change
vakt,guard
hemmelig,secret
sersjant,sergeant
folket,the people
fanken,the fuck
major,major
red,ed
ansikt,face
morder,killer
trekke,draw
lovet,promised
svaret,the answer
vill,wild
sånne,like that
forlot,left
folkene,the people
nord,north
systemet,the system
flytter,moving
toppen,the top
likt,liked
utmerket,excellent
william,william
bytte,Exchange
form,shape
oppdaget,discovered
fikse,fix
havet,the sea
målet,the target
gale,crazy
hæren,the army
normalt,normally
glipp,miss
fisk,fish
sees,See you
lete,search
spørsmålet,the question
sikkerhet,Safety
leste,read
vin,wine
ulykke,accident
endnu,yet
kjenne,feel
dommer,judge
dama,the lady
bestemor,grandmother
frodo,frodo
herlig,lovely
brenner,burning
gleder,pleases
smerte,pain
dan,dan
sjekker,checks
løpe,run
will,will
kirken,the church
jævlig,damn
ondt,evil
guttene,the boys
trekker,pulls
soldater,soldiers
rose,rose
måde,way
frykt,fear
dratt,dragged
året,the year
dessuten,Furthermore
glass,glass
løy,lied
stoppet,stopped
million,million
knapt,barely
grunnen,reason
treffer,meeting
meningen,the meaning
fandt,found
eksempel,Example
gulvet,the floor
farten,the speed
informasjon,information
hendte,happened
munn,mouth
bære,carry
bygge,build
nick,nick
mark,Mark
reglene,the rules
topp,top
ihjel,to death
længe,for a long time
syv,seven
skole,school
natta,the night
hore,hear
kysse,kiss
viiie,viii
england,England
hull,hole
tilfelle,case
ødelegger,destroys
ild,fire
javel,Oh well
forsøk,attempt
blodet,the blood
do,die
skriv,write
claire,Claire
aiie,ayee
sur,sour
leiligheten,the apartment
fremtiden,the future
kalles,is called
stein,stone
hedder,is called
velger,chooses
ler,laughing
selvmord,suicide
skudd,shot
stengt,closed
tanken,the idea
arrestert,arrested
hils,greetings
bygningen,building
no,no
spennende,exciting
løgn,lie
roger,roger
kurs,course
unngå,avoid
hvile,rest
sykehus,hospital
hoppe,jump
doc,doc
loven,the law
evig,eternal
lure,fool
kraft,Power
luft,air
nekter,refuse
sko,shoe
lette,easy
finder,finder
halsen,throat
løper,runs
jones,jones
planer,plans
giftet,married
smil,smile
morsom,funny
skyldig,guilty
orker,can bear
soldat,soldier
valgt,selected
sheriff,sheriff
lave,barn
vanlige,common
fornøyd,satisfied
sjel,soul
ait,ait
kar,dude
samlet,collected
kjøpt,bought
charles,Charles
ferie,holiday
bodde,lived
bærer,carries
veggen,the wall
sen,Late
scott,scott
våpnene,the weapons
bond,bond
lyve,lie
lagde,made
åpen,open
pige,girl
stiller,poses
begynnelsen,the beginning
eldre,older
sengen,the bed
pust,breath
åpnet,opened
gull,gold
damen,the lady
sakene,the cases
magen,the stomach
and,duck
ked,sad
stanse,stop
fader,father
overrasket,surprised
bestefar,grandfather
biler,cars
uskyldig,innocent
situasjonen,the situation
lettere,easier
båt,boat
teller,counting
bussen,the bus
washington,washington
avtalen,Agreement
hendt,happened
fulgte,followed
skjebne,fate
plager,troubles
stjele,steal
rike,rich
jane,jane
tanker,mind
søn,Sun
bange,afraid
oppdrag,assignment
fienden,the enemy
leker,toys
bråk,noise
jason,Jason
varme,heat
nr,no
regnet,the rain
betyder,means
pike,girl
overfor,opposite
arbeider,worker
mexico,mexico
fullstendig,complete
danser,dancer
love,promise
røre,stir
bii,bii
kalt,called
fikser,fix
slett,simply
strålende,glorious
hellige,holy
jorda,Earth
ettermiddag,afternoon
poeng,point
ordnet,arranged
våpenet,the weapon
ødela,destroyed
fy,damn
drit,crap
løgner,liar
titt,look
igjennom,through
tida,the time
carl,Carl
purk,sow
ryan,ryan
svarer,answers
fatter,understands
tør,dare
gjore,do
jord,earth
skader,damage
amerikansk,American
rik,rich
brødre,brothers
stykke,piece
foreldre,parents
styre,control
forretninger,Business
data,data
fredag,Friday
forlater,leaves
pause,break
kevin,kevin
myrdet,murdered
big,big
lengre,further
butikken,the store
pakke,package
vegas,Vegas
ballen,the ball
søtt,sweet
chicago,chicago
næste,next
alder,age
drap,murder
rask,fast
morgenen,morning
hesten,the horse
lade,charge
sexy,sexy
minne,remind
nåde,grace
halvt,half
walter,Walter
ikk,not
slem,naughty
larry,larry
henger,hanging
enige,agreed
california,California
les,read
iallfall,in any case
knust,broken
kald,cold
scenen,the stage
nøklene,the keys
ogsa,also
city,city
musikken,the music
partner,partner
spesiell,special
dukker,dolls
hank,handle
røyk,smoke
visse,certain
verken,neither
nemlig,in fact
college,college
senga,the bed
hilse,greet
kødder,meats
forsvinner,disappears
liket,the corpse
biir,beer
neppe,hardly
nyt,enjoy
besøke,visit
bildene,the pictures
kilo,kilo
fået,got
klasse,class
solen,the sun
skru,screw
virke,seem
oppfattet,perceived
greie,manage
blomster,flowers
skam,shame
lort,crap
ude,out
dust,jerk
boka,the book
ed,oath
søker,applicant
fulle,drunk
babyen,the baby
banken,the bank
dans,dance
kjøkkenet,the kitchen
atjeg,that I
løse,solve
tøff,tough
hær,army
tante,aunt
hemmelighet,secret
stil,style
sørge,mourn
skogen,the forest
tolv,twelve
programmet,the program
gange,walk
bud,bid
kim,Kim
fjerne,remove
ifra,from
halvparten,half
lange,long
van,habit
daniel,Daniel
løpet,the race
lede,lead
sparken,fired
puste,breathe
takket,thanked
mørke,darkness
victor,victor
bety,mean
sør,south
banen,the track
møttes,met
savne,miss
date,date
Arthur,Arthur
leilighet,apartment
rigtig,right
prisen,the price
tydeligvis,apparently
radioen,the radio
prat,talk
lufta,the air
spøk,joke
lee,lee
øyeblikket,the moment
regler,rules
solgte,sold
beinet,the leg
kule,cool
fanger,catches
etasje,story
frihet,freedom
tross,despite
behold,keep
ar,year
diskutere,discuss
mørket,the darkness
los,loose
brevet,the letter
presentere,present
betalte,paid
børn,children
passet,the pass
drikk,drink
søvn,sleep
politimann,policeman
lovte,promised
eiier,owner
vitne,witness
okei,okay
drive,drive
alan,alan
carla,Carla
bringer,brings
sørg,sorrow
låst,locked
planlagt,planned
ide,idea
angrepet,the attack
of,of
overlever,survives
kilometer,kilometer
luften,the air
karen,the fellow
hopper,jumping
skapt,created
bryter,switch
oppdraget,the assignment
steve,Steve
forvirret,confused
mors,mother's
merket,labeled
kjærligheten,the love
glade,happy
turen,the trip
endre,change
blind,blind
bryte,break
pä,on
verst,worst
synger,singing
tapt,lost
driter,crap
simon,Simon
tape,lose
privat,private
øjeblik,moment
angående,regarding
vanligvis,usually
hentet,picked up
ligesom,like
stemmen,the voice
joey,joey
regner,rains
hånda,the hand
star,stands
baren,the bar
tillatelse,permission
hjørnet,the corner
kle,dress
bein,leg
stod,stood
samle,collect
kjørt,driven
lisa,Lisa
fransk,French
hevn,vengeance
kniv,knife
forventer,expects
gjett,guess
rekker,reaches
regel,rule
bringe,bring
smak,taste
kjøtt,meat
tekst,text
,zero
tvil,doubt
texas,texas
knulle,fuck
voksen,adult
gjemme,hide
kjedelig,boring
latterlig,ridiculous
rekke,row
uka,week
samtidig,simultaneous
mulighet,possibility
toalettet,the toilet
bombe,bomb
lørdag,Saturday
tingen,the thing
begynn,begin
personer,persons
egg,egg
løfte,lift
don,Don
lincoln,lincoln
jacob,Jacob
grei,fine
helvetes,hellish
stolte,proud
kjemper,fights
fortere,faster
jævelen,the bastard
fremmede,strangers
område,area
hode,head
firmaet,the company
gjøres,is done
tja,well
rar,weird
kameraet,the camera
kødd,meat
arbeide,work
ri,ride
phil,phil
penny,penny
hard,hard
bruce,Bruce
howard,Howard
prosent,percent
mørkt,dark
kylling,chicken
vits,joke
tenner,teeth
solgt,sold
pete,pete
syn,sight
raskere,faster
flyplassen,the airport
rigtigt,right
møde,meeting
virkelige,real
delen,the part
vunnet,won
kopp,Cup
tidspunkt,point
flotte,great
knuse,smash
skaff,get
bøker,books
levere,deliver
sprøtt,crazy
søte,sweet
planeten,the planet
karene,the fellows
mandag,Monday
pas,pass
kjempet,fought
gråt,cried
våken,alert
kong,king
spar,save
modig,brave
ensom,lonely
per,per
alice,alice
mottatt,received
team,team
tanke,thought
foreslår,suggests
vest,west
ond,evil
stinker,stinks
arbejder,works
morderen,the killer
jepp,yep
feiler,fails
majestet,majesty
drømmen,the dream
press,pressure
skremmer,scares
sakte,slowly
lyden,the sound
gjeng,gang
hoppet,jumped
nøye,carefully
angeles,angels
eg,e.g
pis,piss
nakken,the neck
taget,taken
oh,oh
dagens,of today
møtet,the meeting
stjerne,star
følelse,feeling
hotell,hotel
sara,Sara
ligg,lie down
fordømte,condemned
turk,Turk
sket,happened
skjule,hide
dukket,appeared
skape,create
tviler,doubt
whisky,whisky
you,you
våkner,wakes up
vinden,the wind
viktigste,most important
rumpa,ass
vidunderlig,wonderful
edward,edward
grund,reason
panikk,panic
forskjellige,different
roy,roy
hjel,death
skoene,the shoes
adgang,access
forslag,suggestion
bryllupet,the wedding
gjemmer,hiding
byttet,changed
fundet,found
rasshøl,arsehole
havner,harbors
ålreit,eel right
foretrekker,prefer
henge,hang
sverd,sword
bestemme,decide
brian,Brian
travelt,busy
forsvinne,disappear
buksene,the pants
posisjon,position
lngenting,Nothing
trener,coach
tallet,the number
skuffet,disappointed
meste,mostly
vedder,bet
slappe,relax
dog,however
publikum,audience
badet,the bathroom
bryllup,wedding
nevnte,mentioned
kropp,body
banke,bank
dronning,queen
ansvarlig,responsible
prinsesse,princess
søndag,Sunday
hitler,Hitler
kode,code
situasjon,situation
alvor,seriously
falle,fall
ofre,sacrifice
lyd,sound
broen,the bridge
tankene,the thoughts
dreng,boy
haft,had
forsto,understood
gruppe,group
leo,leo
skremte,scared
trøtt,tired
fjern,remote
havnet,landed
bie,bee
Europa,Europe
